lf/df,lf(mm),Vf(%),fc'(MPa),d(mm),c/d,l/d,"τu,exp(MPa)",Predicted Values
60,30,0.0,22.0,12,6.58,8.0,14.95,14.899514000077792
55,30,0.35,42.1,16,4.19,9.38,10.34,10.351371252380734
80,60,1.0,27.76,14,5.0,5.0,11.14,11.140365785505876
80,60,0.7,43.1,16,4.19,9.38,14.14,14.118175359204987
50,30,0.3,34.32,16,2.19,5.0,8.39,9.18808512211762
45,50,0.51,48.0,8,5.0,5.0,20.16,21.365494005165075
64,35,1.0,52.5,16,4.19,5.0,23.61,23.617286575650013
80,50,0.51,44.0,12,3.5,5.0,15.9,14.38614236452582
80,60,0.75,66.24,14,5.0,5.0,16.08,16.128232482682176
65,60,1.0,44.4,16,4.19,9.38,14.8,14.770021388576213
80,60,0.5,44.0,14,5.0,5.0,13.41,13.480131439747515
50,20,0.0,24.0,16,1.84,4.69,4.79,4.814408573356464
40,30,0.13,24.48,14,3.93,5.0,9.91,9.944342910345272
80,60,0.5,26.32,14,3.93,5.0,10.3,10.379051457531396
0,0,0.0,48.0,8,2.5,5.0,17.25,17.24974900685816
65,35,0.75,42.02,16,4.19,5.0,13.32,13.481677204972598
40,30,0.25,41.44,14,2.86,5.0,10.91,10.909395840385494
40,32,2.0,49.14,20,6.0,5.0,22.41,22.514505926424608
50,30,0.3,34.32,16,0.94,5.0,7.94,8.314366126092656
0,0,0.0,44.0,16,3.5,5.0,21.08,21.140112343113447
80,60,0.5,65.28,14,5.0,5.0,15.85,15.822519709327972
40,32,0.0,38.16,16,6.0,5.0,18.43,18.401585049258046
40,32,0.0,38.16,14,6.0,5.0,16.0,16.09748628487591
65,60,0.51,32.0,16,1.88,5.0,7.38,7.375363554672887
55,30,0.0,39.6,12,5.75,4.17,14.4,15.313487267354262
80,60,0.5,44.0,14,3.93,5.0,12.99,12.947896358558014
80,60,0.13,61.84,14,3.93,5.0,13.71,13.797515660368042
0,0,0.0,60.32,14,3.93,5.0,13.41,13.411317094096608
65,35,0.75,42.02,16,4.19,3.0,21.07,20.764526531912278
55,30,2.0,45.2,12,5.75,4.17,19.68,18.852243139531684
55,30,2.0,59.9,12,5.75,4.17,24.69,25.271560382252233
65,60,0.35,44.0,16,4.19,9.38,12.46,12.48067456123291
80,60,0.13,24.88,14,5.0,5.0,10.23,10.237005983710905
50,20,2.0,24.0,16,4.19,4.69,19.6,17.331607625866496
