lf/df,lf(mm),Vf(%),fc'(MPa),d(mm),c/d,l/d,"τu,exp(MPa)",Predicted Values
55,30,0.7,44.0,16,4.19,9.38,12.92,11.982639936190846
80,60,0.38,43.12,14,2.86,5.0,11.24,11.261485959762622
65,60,1.5,46.0,16,4.19,9.38,16.13,16.252100082156716
40,30,1.0,44.4,14,3.93,5.0,12.76,12.692203135072788
80,60,2.0,61.3,12,5.75,4.17,27.12,25.300418144292983
40,32,1.2,48.35,20,6.0,5.0,17.21,17.512798331576672
55,30,1.0,56.4,12,5.75,4.17,23.67,22.978330291958155
80,60,0.25,63.2,14,2.86,5.0,13.09,13.115529581601715
55,30,0.0,39.6,12,5.75,4.17,15.73,14.92713319329441
0,0,0.0,45.28,16,4.19,3.0,20.46,19.64621553447948
40,32,0.8,39.63,16,6.0,5.0,21.18,16.955588668767636
55,30,0.0,39.6,12,5.75,4.17,13.03,14.92713319329441
0,0,0.0,23.52,14,5.0,5.0,9.81,9.83000711788322
55,30,2.0,45.2,12,5.75,4.17,19.3,19.32391104810924
40,30,1.0,66.08,14,3.93,5.0,14.91,15.228276758827894
80,60,0.13,61.84,14,5.0,5.0,15.07,15.089407111277497
40,32,2.0,49.14,14,6.0,5.0,21.83,20.436740053840406
50,20,0.0,24.0,16,4.19,4.69,13.72,13.382741678005425
64,35,1.0,42.67,16,4.19,5.0,18.43,18.10686049228221
40,30,0.38,41.76,14,3.93,5.0,12.51,11.547242645517445
40,30,0.25,24.88,14,3.93,5.0,9.91,9.848066050420957
40,30,0.5,25.52,14,2.86,5.0,8.9,8.876756343603759
40,32,1.6,48.92,14,6.0,5.0,19.98,19.010119536359856
55,30,1.0,44.2,12,5.75,4.17,16.18,18.261487406393332
0,0,0.0,23.52,14,5.0,5.0,9.81,9.83000711788322
40,32,0.0,38.16,20,6.0,5.0,16.18,16.19398758465443
80,60,0.38,43.12,14,5.0,5.0,13.35,13.372482373135792
80,60,1.0,57.4,12,5.75,4.17,21.78,21.761210379752224
0,0,0.0,45.28,12,5.75,5.0,19.09,19.054631104373982
55,30,2.0,59.9,12,5.75,4.17,22.47,25.191881029304742
55,30,0.7,43.0,16,4.19,9.38,11.78,11.753054446045265
55,30,1.0,44.2,12,5.75,4.17,15.27,18.261487406393332
55,30,0.0,50.8,12,5.75,4.17,19.68,17.550169023991067
55,30,0.0,39.6,12,5.75,4.17,14.38,14.92713319329441
80,60,1.0,27.76,14,2.86,5.0,9.81,9.924904399202514
50,20,1.0,24.0,16,4.19,4.69,15.91,14.507936274666282
40,30,0.38,62.96,14,3.93,5.0,14.16,13.995938012557112
80,60,0.75,44.88,14,2.86,5.0,11.47,11.598592075838646
0,0,0.0,45.28,16,4.19,5.0,14.84,14.001070946036917
55,30,1.0,56.4,12,5.75,4.17,24.33,22.978330291958155
80,60,1.0,27.76,14,3.93,5.0,11.01,10.983041900400412
55,30,2.0,45.2,12,5.75,4.17,18.85,19.32391104810924
80,60,1.5,44.5,16,4.19,9.38,16.52,16.490148529895755
80,60,0.25,42.16,14,3.93,5.0,12.7,12.140210882782613
40,30,0.25,41.44,14,3.93,5.0,12.34,11.488417704334358
0,0,0.0,44.0,16,3.5,5.0,21.22,13.262043904496428
0,0,0.0,43.1,16,4.19,9.38,9.42,9.446519131051282
55,30,1.5,42.4,16,4.19,9.38,15.36,15.346339020368404
55,30,1.0,44.2,12,5.75,4.17,16.87,18.261487406393332
80,60,1.0,66.8,14,2.86,5.0,14.26,14.257396444346796
80,60,0.5,56.0,12,5.75,4.17,20.46,19.785945567538057
65,60,1.0,55.9,12,5.75,4.17,19.96,20.68346729151451
55,30,2.0,45.2,12,5.75,4.17,22.08,19.32391104810924
55,30,2.0,45.2,12,5.75,4.17,17.11,19.32391104810924
40,30,0.38,41.76,14,5.0,5.0,13.25,13.284941778046951
60,30,1.0,27.5,12,6.58,5.0,19.0,17.750081379051778
50,20,1.0,24.0,16,4.19,4.69,14.48,14.507936274666282
65,35,0.75,42.02,20,3.25,5.0,12.61,12.635085252209047
0,0,0.0,39.92,14,5.0,5.0,12.67,15.329519412360368
40,30,1.0,26.8,14,5.0,5.0,10.69,12.572271326972038
0,0,0.0,44.0,12,5.0,5.0,17.39,17.405411392941517
55,30,0.0,39.6,12,5.75,4.17,18.97,14.92713319329441
40,30,0.25,24.88,14,2.86,5.0,8.64,8.910221102251061
55,30,1.0,56.4,12,5.75,4.17,24.32,22.978330291958155
55,30,1.0,56.4,12,5.75,4.17,20.39,22.978330291958155
0,0,0.0,34.05,16,1.56,5.0,12.56,11.351386824268964
