lf/df,lf(mm),Vf(%),fc'(MPa),d(mm),c/d,l/d,"τu,exp(MPa)",Predicted Values
65,60,0.51,32.0,16,1.88,5.0,7.38,7.3033056
55,30,0.0,39.6,12,5.75,4.17,14.4,15.231944
80,60,0.5,44.0,14,3.93,5.0,12.99,12.725136
80,60,0.13,61.84,14,3.93,5.0,13.71,13.783275
0,0,0.0,60.32,14,3.93,5.0,13.41,13.429513
65,35,0.75,42.02,16,4.19,3.0,21.07,20.726248
55,30,2.0,45.2,12,5.75,4.17,19.68,18.867716
55,30,2.0,59.9,12,5.75,4.17,24.69,25.225527
65,60,0.35,44.0,16,4.19,9.38,12.46,12.393536
80,60,0.13,24.88,14,5.0,5.0,10.23,10.087462
50,20,2.0,24.0,16,4.19,4.69,19.6,17.243666
40,32,1.6,48.92,20,6.0,5.0,19.22,19.262714
80,50,0.51,32.0,20,3.25,5.0,10.16,11.720655
0,0,0.0,34.05,16,0.94,5.0,8.62,8.667622
60,30,0.5,26.0,12,6.58,8.0,16.61,16.653948
64,35,0.5,41.73,16,4.19,5.0,20.02,19.97383
55,30,1.0,44.2,12,5.75,4.17,14.95,17.310053
80,60,0.5,44.0,14,2.86,5.0,11.4,11.39772
55,30,0.7,44.0,16,4.19,9.38,12.92,12.882317
80,60,0.38,43.12,14,2.86,5.0,11.24,11.21656
65,60,1.5,46.0,16,4.19,9.38,16.13,16.133001
40,30,1.0,44.4,14,3.93,5.0,12.76,12.915005
80,60,2.0,61.3,12,5.75,4.17,27.12,27.102688
40,32,1.2,48.35,20,6.0,5.0,17.21,17.141666
55,30,1.0,56.4,12,5.75,4.17,23.67,22.82915
80,60,0.25,63.2,14,2.86,5.0,13.09,13.140744
55,30,0.0,39.6,12,5.75,4.17,15.73,15.231944
0,0,0.0,45.28,16,4.19,3.0,20.46,19.794739
40,32,0.8,39.63,16,6.0,5.0,21.18,20.916605
55,30,0.0,39.6,12,5.75,4.17,13.03,15.231944
0,0,0.0,23.52,14,5.0,5.0,9.81,9.778974
55,30,2.0,45.2,12,5.75,4.17,19.3,18.867716
40,30,1.0,66.08,14,3.93,5.0,14.91,14.923184
80,60,0.13,61.84,14,5.0,5.0,15.07,15.111774
40,32,2.0,49.14,14,6.0,5.0,21.83,21.493052
50,20,0.0,24.0,16,4.19,4.69,13.72,13.472205
64,35,1.0,42.67,16,4.19,5.0,18.43,18.638277
40,30,0.38,41.76,14,3.93,5.0,12.51,12.585666
40,30,0.25,24.88,14,3.93,5.0,9.91,9.883553
40,30,0.5,25.52,14,2.86,5.0,8.9,8.859895
40,32,1.6,48.92,14,6.0,5.0,19.98,19.963947
55,30,1.0,44.2,12,5.75,4.17,16.18,17.310053
0,0,0.0,23.52,14,5.0,5.0,9.81,9.778974
40,32,0.0,38.16,20,6.0,5.0,16.18,16.118774
80,60,0.38,43.12,14,5.0,5.0,13.35,13.33617
80,60,1.0,57.4,12,5.75,4.17,21.78,21.800505
0,0,0.0,45.28,12,5.75,5.0,19.09,18.714388
55,30,2.0,59.9,12,5.75,4.17,22.47,25.225527
55,30,0.7,43.0,16,4.19,9.38,11.78,11.722165
55,30,1.0,44.2,12,5.75,4.17,15.27,17.310053
55,30,0.0,50.8,12,5.75,4.17,19.68,17.892508
55,30,0.0,39.6,12,5.75,4.17,14.38,15.231944
80,60,1.0,27.76,14,2.86,5.0,9.81,9.75267
50,20,1.0,24.0,16,4.19,4.69,15.91,15.071448
40,30,0.38,62.96,14,3.93,5.0,14.16,14.135301
80,60,0.75,44.88,14,2.86,5.0,11.47,11.584969
0,0,0.0,45.28,16,4.19,5.0,14.84,14.991962
55,30,1.0,56.4,12,5.75,4.17,24.33,22.82915
80,60,1.0,27.76,14,3.93,5.0,11.01,11.016682
55,30,2.0,45.2,12,5.75,4.17,18.85,18.867716
80,60,1.5,44.5,16,4.19,9.38,16.52,16.497087
80,60,0.25,42.16,14,3.93,5.0,12.7,12.57806
40,30,0.25,41.44,14,3.93,5.0,12.34,12.460696
0,0,0.0,44.0,16,3.5,5.0,21.22,21.041542
0,0,0.0,43.1,16,4.19,9.38,9.42,9.495669
55,30,1.5,42.4,16,4.19,9.38,15.36,15.295145
55,30,1.0,44.2,12,5.75,4.17,16.87,17.310053
80,60,1.0,66.8,14,2.86,5.0,14.26,14.207556
80,60,0.5,56.0,12,5.75,4.17,20.46,20.515852
65,60,1.0,55.9,12,5.75,4.17,19.96,19.914341
55,30,2.0,45.2,12,5.75,4.17,22.08,18.867716
55,30,2.0,45.2,12,5.75,4.17,17.11,18.867716
40,30,0.38,41.76,14,5.0,5.0,13.25,13.157726
60,30,1.0,27.5,12,6.58,5.0,19.0,18.807413
50,20,1.0,24.0,16,4.19,4.69,14.48,15.071448
65,35,0.75,42.02,20,3.25,5.0,12.61,12.645707
0,0,0.0,39.92,14,5.0,5.0,12.67,12.618303
40,30,1.0,26.8,14,5.0,5.0,10.69,10.869771
0,0,0.0,44.0,12,5.0,5.0,17.39,17.318705
55,30,0.0,39.6,12,5.75,4.17,18.97,15.231944
40,30,0.25,24.88,14,2.86,5.0,8.64,8.630721
55,30,1.0,56.4,12,5.75,4.17,24.32,22.82915
55,30,1.0,56.4,12,5.75,4.17,20.39,22.82915
0,0,0.0,34.05,16,1.56,5.0,12.56,12.166147
0,0,0.0,45.28,12,5.75,5.0,17.36,18.714388
0,0,0.0,60.32,14,5.0,5.0,14.65,14.74239
50,30,0.3,34.32,16,0.94,5.0,8.47,8.230497
55,30,2.0,45.2,12,5.75,4.17,17.92,18.867716
0,0,0.0,45.28,16,4.19,7.0,11.28,9.778442
55,30,0.0,50.1,12,5.75,4.17,16.74,16.779734
0,0,0.0,39.92,14,2.86,5.0,10.75,10.722598
40,32,2.0,49.14,16,6.0,5.0,21.66,21.745594
65,60,0.7,43.5,16,4.19,9.38,12.31,12.486078
40,32,1.6,41.22,20,6.0,5.0,18.81,18.739843
65,35,1.0,44.59,16,4.19,5.0,19.12,18.050236
55,30,1.0,56.4,12,5.75,4.17,23.0,22.82915
80,60,0.25,63.2,14,5.0,5.0,15.3,15.314215
80,50,0.77,44.0,16,5.0,5.0,17.6,21.761618
55,30,1.0,56.4,12,5.75,4.17,24.12,22.82915
40,32,0.0,33.29,14,6.0,5.0,15.68,15.664924
