lf/df,lf(mm),Vf(%),fc'(MPa),d(mm),c/d,l/d,"τu,exp(MPa)",Predicted Values
55,30,1.0,44.2,12,5.75,4.17,15.27,19.39583082906697
55,30,0.0,50.8,12,5.75,4.17,19.68,18.221142078332235
55,30,0.0,39.6,12,5.75,4.17,14.38,16.72008143357568
80,60,1.0,27.76,14,2.86,5.0,9.81,10.525486592948978
50,20,1.0,24.0,16,4.19,4.69,15.91,12.018311757560335
40,30,0.38,62.96,14,3.93,5.0,14.16,16.606700543278777
80,60,0.75,44.88,14,2.86,5.0,11.47,13.097754515431303
0,0,0.0,45.28,16,4.19,5.0,14.84,14.056238922093826
55,30,1.0,56.4,12,5.75,4.17,24.33,21.349671975823487
80,60,1.0,27.76,14,3.93,5.0,11.01,12.297187797316173
55,30,2.0,45.2,12,5.75,4.17,18.85,21.759051957687134
80,60,1.5,44.5,16,4.19,9.38,16.52,14.690628293775491
80,60,0.25,42.16,14,3.93,5.0,12.7,13.277676235277257
40,30,0.25,41.44,14,3.93,5.0,12.34,13.106717242154618
0,0,0.0,44.0,16,3.5,5.0,21.22,12.928618544349316
0,0,0.0,43.1,16,4.19,9.38,9.42,11.98370154945192
55,30,1.5,42.4,16,4.19,9.38,15.36,14.41600123922019
55,30,1.0,44.2,12,5.75,4.17,16.87,19.39583082906697
80,60,1.0,66.8,14,2.86,5.0,14.26,16.888376340071208
80,60,0.5,56.0,12,5.75,4.17,20.46,19.117662971003142
65,60,1.0,55.9,12,5.75,4.17,19.96,19.791949457234292
55,30,2.0,45.2,12,5.75,4.17,22.08,21.759051957687134
55,30,2.0,45.2,12,5.75,4.17,17.11,21.759051957687134
40,30,0.38,41.76,14,5.0,5.0,13.25,15.004026983597727
60,30,1.0,27.5,12,6.58,5.0,19.0,17.50192521882556
50,20,1.0,24.0,16,4.19,4.69,14.48,12.018311757560335
65,35,0.75,42.02,20,3.25,5.0,12.61,12.96872201963952
0,0,0.0,39.92,14,5.0,5.0,12.67,14.440558437820647
40,30,1.0,26.8,14,5.0,5.0,10.69,12.838139036450155
0,0,0.0,44.0,12,5.0,5.0,17.39,15.37882781976107
55,30,0.0,39.6,12,5.75,4.17,18.97,16.72008143357568
40,30,0.25,24.88,14,2.86,5.0,8.64,8.46201653309674
55,30,1.0,56.4,12,5.75,4.17,24.32,21.349671975823487
55,30,1.0,56.4,12,5.75,4.17,20.39,21.349671975823487
0,0,0.0,34.05,16,1.56,5.0,12.56,9.180170680828093
0,0,0.0,45.28,12,5.75,5.0,17.36,16.63928663177983
0,0,0.0,60.32,14,5.0,5.0,14.65,17.673363148826514
50,30,0.3,34.32,16,0.94,5.0,8.47,7.793294589018993
55,30,2.0,45.2,12,5.75,4.17,17.92,21.759051957687134
