lf/df,lf(mm),Vf(%),fc'(MPa),d(mm),c/d,l/d,"τu,exp(MPa)",Predicted Values
0,0,0.0,44.0,12,5.0,5.0,17.39,17.421089285714114
55,30,0.0,39.6,12,5.75,4.17,18.97,14.558125000000263
40,30,0.25,24.88,14,2.86,5.0,8.64,8.831089285714379
55,30,1.0,56.4,12,5.75,4.17,24.32,22.98480357142857
55,30,1.0,56.4,12,5.75,4.17,20.39,22.98480357142857
0,0,0.0,34.05,16,1.56,5.0,12.56,12.543410714285738
0,0,0.0,45.28,12,5.75,5.0,17.36,19.021035714285826
0,0,0.0,60.32,14,5.0,5.0,14.65,14.569351190476008
50,30,0.3,34.32,16,0.94,5.0,8.47,8.220630952380894
55,30,2.0,45.2,12,5.75,4.17,17.92,19.078494047619333
0,0,0.0,45.28,16,4.19,7.0,11.28,10.112148809523907
55,30,0.0,50.1,12,5.75,4.17,16.74,16.757261904761727
0,0,0.0,39.92,14,2.86,5.0,10.75,10.824214285714287
40,32,2.0,49.14,16,6.0,5.0,21.66,21.701648809523864
65,60,0.7,43.5,16,4.19,9.38,12.31,12.729434523809578
40,32,1.6,41.22,20,6.0,5.0,18.81,18.824190476190317
65,35,1.0,44.59,16,4.19,5.0,19.12,19.076559523809863
55,30,1.0,56.4,12,5.75,4.17,23.0,22.98480357142857
80,60,0.25,63.2,14,5.0,5.0,15.3,14.919684523809465
80,50,0.77,44.0,16,5.0,5.0,17.6,23.1666845238093
55,30,1.0,56.4,12,5.75,4.17,24.12,22.98480357142857
40,32,0.0,33.29,14,6.0,5.0,15.68,15.762684523809677
80,60,0.13,61.84,14,2.86,5.0,12.99,12.841958333333425
55,30,2.0,45.2,12,5.75,4.17,17.02,19.078494047619333
80,50,0.51,32.0,20,3.25,5.0,14.0,11.218702380952367
55,30,0.0,50.8,12,5.75,4.17,16.34,17.584869047618987
50,20,2.0,24.0,16,4.19,4.69,15.08,17.315386904762022
64,35,1.5,46.26,16,4.19,5.0,23.15,23.036380952380938
40,30,1.0,44.4,14,2.86,5.0,11.5,11.371083333333338
64,35,1.0,42.68,16,4.19,5.0,21.56,20.923059523809528
65,35,0.75,42.02,20,3.25,5.0,12.54,12.57264285714292
55,30,0.0,39.6,12,5.75,4.17,17.16,14.558125000000263
45,50,0.77,44.0,8,3.5,5.0,24.11,22.05961904761884
0,0,0.0,39.1,16,4.19,9.38,9.16,9.298964285714238
80,60,1.5,43.7,16,4.19,9.38,16.36,16.301797619047704
55,30,1.0,44.2,12,5.75,4.17,17.07,17.29148214285738
0,0,0.0,45.28,12,5.75,5.0,20.0,19.021035714285826
40,30,0.75,43.36,14,2.86,5.0,11.24,11.487077380952273
40,30,1.0,26.8,14,3.93,5.0,10.82,10.88045833333333
0,0,0.0,45.28,16,4.19,7.0,10.05,10.112148809523907
60,30,2.0,29.0,12,6.58,8.0,17.68,17.535202380952537
40,32,2.0,45.75,14,6.0,5.0,16.81,17.970244047619058
40,30,0.25,24.88,14,5.0,5.0,10.04,10.187529761904777
0,0,0.0,60.32,14,3.93,5.0,13.41,13.411601190476086
64,35,1.0,65.7,16,4.19,5.0,29.38,28.931660714285822
65,60,0.5,55.2,12,5.75,4.17,19.43,19.711154761904663
55,30,2.0,57.6,12,5.75,4.17,24.62,24.595654761904832
55,30,2.0,45.2,12,5.75,4.17,20.4,19.078494047619333
55,30,0.0,50.8,12,5.75,4.17,17.07,17.584869047618987
0,0,0.0,48.0,12,5.0,5.0,23.92,23.9192261904764
